Doc_i;ID_i;Doc_j;ID_j;Cosine Similarity
382;119749;3872;185557;0,7067547
394;122092;3098;84139;0,5766062
397;122276;434;127612;0,614667
397;122276;2064;20259;0,5602088
397;122276;2114;21930;0,6406083
397;122276;2502;37182;0,5215312
397;122276;3038;77166;0,5768337
397;122276;3174;92095;0,645066
397;122276;3804;174083;0,5559465
399;123004;540;153941;0,5909594
399;123004;860;206480;0,5569704
399;123004;1545;28623;0,5158211
399;123004;1589;33196;0,550041
399;123004;1830;149252;0,5766305
399;123004;2292;29856;0,6017527
399;123004;2411;35577;0,5856003
399;123004;2856;61776;0,6348941
399;123004;3036;76759;0,6209978
399;123004;3630;148771;0,6044829
407;123526;2446;35638;0,5457572
407;123526;3142;89852;0,5059039
407;123526;3601;143223;0,5267453
409;123564;2717;51641;0,5157886
409;123564;2833;59533;0,5609247
409;123564;3105;85270;0,5288624
419;124307;3415;122223;0,5095661
423;125278;424;125280;0,5005602
425;125442;3148;90213;0,5312212
429;126574;791;195924;0,5000373
429;126574;2670;47905;0,5988105
430;126575;3279;103806;0,5436829
434;127612;1492;25191;0,5619785
434;127612;2064;20259;0,582049
434;127612;2114;21930;0,6060708
434;127612;2502;37182;0,5259187
434;127612;3038;77166;0,6324019
434;127612;3174;92095;0,6595955
434;127612;3804;174083;0,6221961
436;127700;3214;98033;0,5125114
442;129326;845;204023;0,5331589
448;130019;3046;77602;0,5003812
453;131187;696;180751;0,5783249
453;131187;3779;169873;0,5638217
459;133711;787;194065;0,5694576
470;135264;2868;62964;0,628033
470;135264;3093;83302;0,5180293
470;135264;3110;86093;0,5516964
470;135264;3147;90212;0,500896
470;135264;3148;90213;0,5563983
470;135264;3213;97812;0,5668492
470;135264;3872;185557;0,5636346
473;135875;540;153941;0,5075563
473;135875;2292;29856;0,5155218
473;135875;2856;61776;0,5938638
473;135875;3036;76759;0,5543081
473;135875;3630;148771;0,5233282
475;136987;3586;140529;0,5340669
477;137219;599;165283;0,5219797
477;137219;2717;51641;0,6273938
477;137219;3061;79498;0,5309147
477;137219;3105;85270;0,5617063
477;137219;3434;124186;0,5652255
477;137219;3543;136036;0,5955926
477;137219;3928;194530;0,5023877
477;137219;4000;201731;0,5186824
478;137263;2194;25556;0,5053994
478;137263;3241;100820;0,5424598
479;137287;3604;143364;0,6464925
488;139174;3513;133212;0,5141346
509;146627;2552;40067;0,5596439
509;146627;2562;40545;0,5686402
509;146627;3109;86078;0,5081371
515;150576;1636;38615;0,5264432
515;150576;2426;35597;0,5734065
515;150576;2427;35598;0,5695354
515;150576;2900;65291;0,5083066
515;150576;2905;65736;0,5242985
515;150576;2939;68083;0,6684319
515;150576;3103;84840;0,5911803
520;151062;3456;125746;0,572097
523;151539;4160;223798;0,521428
525;151868;3075;81940;0,5181172
529;152157;1003;227714;0,5042521
529;152157;2569;40816;0,56749
540;153941;558;157436;0,524551
540;153941;860;206480;0,5476688
540;153941;966;223136;0,5071899
540;153941;1589;33196;0,5612795
540;153941;1830;149252;0,595302
540;153941;2292;29856;0,6322461
540;153941;2411;35577;0,604746
540;153941;2856;61776;0,6626768
540;153941;3036;76759;0,6521893
540;153941;3630;148771;0,6497294
540;153941;4070;208888;0,5138398
542;154794;543;154798;0,553959
542;154794;4184;227049;0,5509565
543;154798;945;220033;0,5175834
543;154798;3623;146799;0,5306997
543;154798;4184;227049;0,6837289
544;155061;2686;49507;0,6300593
558;157436;1830;149252;0,502123
558;157436;2292;29856;0,5034995
558;157436;2856;61776;0,526782
558;157436;3036;76759;0,5845494
561;157757;3263;103160;0,5473342
563;158114;1670;45174;0,5312072
563;158114;2618;43165;0,5170416
563;158114;3120;87536;0,5443788
563;158114;3697;156202;0,5017462
569;159555;748;187542;0,5067909
574;160334;2980;71785;0,5478928
581;160824;697;180864;0,5733247
583;161112;3849;182446;0,5074839
599;165283;1140;10045;0,5110526
599;165283;2717;51641;0,6278672
599;165283;3061;79498;0,5854655
599;165283;3105;85270;0,6026401
599;165283;3434;124186;0,5968685
599;165283;3543;136036;0,5659239
599;165283;4000;201731;0,5032365
606;167264;808;198529;0,5303336
606;167264;3595;142659;0,5455943
609;168260;4057;207120;0,5116167
615;169140;755;188315;0,6033596
615;169140;1881;217332;0,5487759
615;169140;3781;169898;0,5265196
615;169140;3815;176129;0,5106083
615;169140;4112;215114;0,5040185
616;169243;617;169244;0,5931543
617;169244;4141;219124;0,5073627
621;169618;3518;133716;0,5140989
637;172985;3671;153619;0,5544723
637;172985;4098;211201;0,562891
643;173811;2236;26959;0,5148568
646;173816;3684;155453;0,519178
647;174492;2815;58240;0,5886351
